raw_material_id,raw_material_sku,suppliers
502,RM-C27-vitamin-b6-pyridoxine-hydrochloride-bb52b75a,"Prinova USA,PureBulk"
503,RM-C27-vitamin-c-ascorbic-acid-2d17523d,"Prinova USA,PureBulk"
504,RM-C28-ascorbyl-palmitate-373a4bfa,"Prinova USA,PureBulk"
506,RM-C28-glycerin-85e43afb,Ingredion
507,RM-C28-hypromellose-155bba6b,"Capsuline,Colorcon"
508,RM-C28-magnesium-citrate-d364c220,"Jost Chemical,PureBulk"
509,RM-C28-safflower-oil-a84bc3ce,"ADM,Cargill"
510,RM-C28-silicon-dioxide-8891b60f,"Ashland,Colorcon"
511,RM-C28-softgel-capsule-bovine-gelatin-5a1a1582,"Capsuline,Darling Ingredients / Rousselot"
512,RM-C28-vitamin-d3-cholecalciferol-8956b79c,"Prinova USA,PureBulk"
514,RM-C29-dibasic-calcium-phosphate-dihydrate-ef3ab6b0,"Jost Chemical,Prinova USA"
515,RM-C29-magnesium-stearate-589caed7,"Ashland,Colorcon"
516,RM-C29-microcrystalline-cellulose-734eb550,"Ashland,Colorcon"
517,RM-C29-vitamin-d3-cholecalciferol-aedcde8b,"Prinova USA,PureBulk"
518,RM-C30-acacia-gum-fc79918e,Ingredion
519,RM-C30-b-vitamins-363953a0,"Prinova USA,PureBulk"
520,RM-C30-calcium-carbonate-dd9f47aa,"Jost Chemical,PureBulk"
521,RM-C30-carboxymethylcellulose-sodium-c79871c7,"Ashland,Colorcon"
522,RM-C30-carnauba-wax-302c3873,"Koster Keunen,Strahl & Pitsch"
523,RM-C30-cellulose-gel-66b4a4d5,Ingredion
524,RM-C30-citric-acid-d939ac85,"Prinova USA,Univar Solutions"
